date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:22	91/91	---MCZ	200	added ('OK')	text/plain	date:Fri,%2028%20Jun%202024%2013:12:34%20GMT	https://www.freeformatter.com/robots.txt		(from )
18:12:23	39077/39077	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2013:12:34%20GMT	https://www.freeformatter.com/	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/index.html	(from )
18:12:25	7406/7406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%227406-1597771526000%22	https://www.freeformatter.com/favicon.ico	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/favicon.ico	(from https://www.freeformatter.com/)
18:12:25	0/0	---M--	200	added ('OK')	image/x-icon	etag:W/%220-1597771526000%22	https://www.freeformatter.com/5.0.0.1/images/favicon.ico	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/5.0.0.1/images/favicon.ico	(from https://www.freeformatter.com/)
18:12:27	24582/24582	---MCZ	200	added ('OK')	text/css	etag:W/%2224582-1654782024000%22	https://www.freeformatter.com/5.0.0.1/css/app.min.css	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/5.0.0.1/css/app.min.css	(from https://www.freeformatter.com/)
18:12:27	212548/212548	---MCZ	200	added ('OK')	text/css	etag:W/%22212548-1651166698000%22	https://www.freeformatter.com/5.0.0.1/css/bootstrap.min.css	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/5.0.0.1/css/bootstrap.min.css	(from https://www.freeformatter.com/)
18:12:29	2687/2687	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257198ca74818dd6d3b28e25920427406%22	https://cmp.uniconsent.com/v2/5a6357a030/cmp.js	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/cmp.uniconsent.com/v2/5a6357a030/cmp.js	(from https://www.freeformatter.com/)
18:12:31	193893/193893	---M--	200	added ('OK')	text/javascript	etag:8816194332824378600	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.freeformatter.com/)
18:12:33	16045/16045	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2013:12:44%20GMT	https://www.freeformatter.com/formatters.html	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/formatters.html	(from https://www.freeformatter.com/)
18:12:34	24415/24415	---M--	200	added ('OK')	image/png	etag:W/%2224415-1605677052000%22	https://www.freeformatter.com/5.0.0.1/images/bmc-button.png	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/5.0.0.1/images/bmc-button.png	(from https://www.freeformatter.com/)
18:12:37	18013/18013	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2013:12:49%20GMT	https://www.freeformatter.com/xml-formatter.html	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/xml-formatter.html	(from https://www.freeformatter.com/)
18:12:40	17414/17414	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2013:12:52%20GMT	https://www.freeformatter.com/html-formatter.html	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/html-formatter.html	(from https://www.freeformatter.com/)
18:12:41	28025/28025	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2013:12:49%20GMT	https://www.freeformatter.com/json-formatter.html	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/json-formatter.html	(from https://www.freeformatter.com/)
18:12:42	18476/18476	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2013:12:53%20GMT	https://www.freeformatter.com/sql-formatter.html	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/sql-formatter.html	(from https://www.freeformatter.com/)
18:12:44	18820/18820	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2013:12:55%20GMT	https://www.freeformatter.com/validators.html	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/validators.html	(from https://www.freeformatter.com/)
18:12:46	18753/18753	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2013:12:57%20GMT	https://www.freeformatter.com/xml-validator-xsd.html	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/xml-validator-xsd.html	(from https://www.freeformatter.com/)
18:12:48	27737/27737	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2013:12:59%20GMT	https://www.freeformatter.com/json-validator.html	C:/Users/(AA)/Desktop/New%20folder%20(4)/https___www.freeformatter.com_/www.freeformatter.com/json-validator.html	(from https://www.freeformatter.com/)
